BX = 000 Event : 1
7 0 0010111|001|000|011 0x2E43
BX = 011 Event : 28
5 0 0001111|001|101|101 0x1E6D
6 0 0010011|000|111|000 0x2638
BX = 100 Event : 29
0 0 0011001|000|101|000 0x3228
3 0 0110000|101|011|101 0x615D
3 1 0110001|001|101|101 0x626D
4 0 0110100|101|100|000 0x6960
4 1 0110101|001|111|001 0x6A79
4 2 0111011|100|011|110 0x771E
6 0 0010010|101|001|010 0x254A
BX = 101 Event : 30
0 0 0010000|100|000|111 0x2107
3 0 0011011|001|101|000 0x3668
3 1 0011101|001|000|001 0x3A41
5 0 0001000|000|011|111 0x101F
BX = 110 Event : 31
0 0 0010011|001|100|011 0x2663
3 0 0011000|001|010|000 0x3050
4 0 0100011|001|100|110 0x4666
7 0 0010000|101|101|111 0x216F
BX = 111 Event : 32
0 0 0010000|101|000|010 0x2142
2 0 0011000|001|011|100 0x305C
3 0 0100010|100|111|010 0x453A
4 0 0101000|101|100|000 0x5160
4 1 0101010|101|001|100 0x554C
BX = 000 Event : 33
0 0 0100011|001|100|101 0x4665
0 1 0100100|000|000|111 0x4807
1 0 0100111|100|010|100 0x4F14
2 0 0101100|000|100|000 0x5820
3 0 0111010|000|100|101 0x7425
3 1 0111011|000|100|101 0x7625
4 0 1000100|101|111|001 0x8979
4 1 1001001|000|011|100 0x921C
4 2 1001101|001|011|110 0x9A5E
6 0 0011110|110|110|010 0x3DB2
BX = 001 Event : 34
1 0 0100010|001|010|101 0x4455
1 1 0100011|001|010|101 0x4655
1 2 0100100|001|100|111 0x4867
2 0 0101011|000|011|101 0x561D
4 0 0110111|001|011|010 0x6E5A
4 1 0111000|001|011|011 0x705B
4 2 0111001|100|011|010 0x731A
BX = 010 Event : 35
0 0 0010110|100|000|010 0x2D02
3 0 0110000|000|110|001 0x6031
4 0 0111001|100|110|001 0x7331
4 1 1000111|101|110|110 0x8F76
BX = 011 Event : 36
4 0 0111010|000|100|111 0x7427
7 0 0010111|000|000|110 0x2E06
BX = 100 Event : 37
1 0 0110011|001|001|111 0x664F
2 0 0110101|000|110|000 0x6A30
2 1 0110110|110|010|100 0x6D94
2 2 0111000|110|001|100 0x718C
3 0 1001001|001|000|110 0x9246
3 1 1001011|100|101|111 0x972F
6 0 0011110|001|001|100 0x3C4C
BX = 101 Event : 38
2 0 0100110|101|100|010 0x4D62
2 1 0101001|110|111|100 0x53BC
2 2 0101010|101|010|100 0x5554
3 0 0110100|101|010|101 0x6955
3 1 0111000|000|010|110 0x7016
7 0 0010111|000|001|011 0x2E0B
BX = 110 Event : 39
4 0 0110001|001|100|101 0x6265
7 0 0001101|101|100|001 0x1B61
7 1 0001110|001|110|100 0x1C74
7 2 0001111|001|110|100 0x1E74
BX = 111 Event : 40
2 0 0100010|000|001|000 0x4408
3 0 0110000|001|111|110 0x607E
5 0 0001100|110|101|010 0x19AA
5 1 0001111|000|110|100 0x1E34
BX = 000 Event : 41
0 0 0100010|001|111|111 0x447F
1 0 0100100|001|001|100 0x484C
4 0 1000010|101|011|100 0x855C
6 0 0010010|110|111|001 0x25B9
BX = 001 Event : 42
4 0 0111001|100|100|001 0x7321
4 1 0111010|101|011|001 0x7559
5 0 0010000|110|010|110 0x2196
BX = 010 Event : 43
0 0 0110011|110|001|110 0x678E
5 0 0001111|001|100|011 0x1E63
5 1 0010000|110|010|011 0x2193
5 2 0011010|100|000|111 0x3507
5 3 0011100|001|011|111 0x385F
6 0 0011101|100|011|000 0x3B18
BX = 011 Event : 44
2 0 0011110|110|100|000 0x3DA0
2 1 0011111|100|000|000 0x3F00
2 2 0100110|000|011|101 0x4C1D
3 0 0101010|101|001|001 0x5549
3 1 0101011|101|100|010 0x5762
3 2 0101100|101|011|010 0x595A
4 0 0000101|100|001|111 0x0B0F
4 1 0110111|001|000|110 0x6E46
5 0 0000100|000|001|000 0x0808
5 1 0001001|100|100|101 0x1325
5 2 0001011|100|000|101 0x1705
5 3 0001101|110|110|111 0x1BB7
BX = 100 Event : 45
4 0 0111001|000|000|000 0x7200
6 0 0011111|101|000|001 0x3F41
BX = 101 Event : 46
0 0 0101100|100|000|000 0x5900
2 0 0111011|101|111|001 0x7779
4 0 1010010|100|110|111 0xA537
5 0 0000111|000|110|000 0x0E30
5 1 0010111|101|001|110 0x2F4E
5 2 0011000|101|011|111 0x315F
6 0 0011010|110|011|000 0x3598
6 1 0011011|100|011|001 0x3719
6 2 0011101|100|111|100 0x3B3C
6 3 0011110|101|000|101 0x3D45
7 0 0100001|100|011|010 0x431A
7 1 0100011|001|011|011 0x465B
7 2 0100100|101|111|011 0x497B
BX = 110 Event : 47
2 0 0101100|000|000|001 0x5801
3 0 0111111|001|100|111 0x7E67
6 0 0011011|000|011|101 0x361D
BX = 111 Event : 48
2 0 0101000|001|000|000 0x5040
3 0 0110000|001|101|001 0x6069
3 1 0110100|100|010|101 0x6915
